time,open,high,low,close,tick_volume,symbol
2024-09-30 20:30:00,1.11547,1.1158,1.11515,1.11537,658,EURUSD_i
2024-09-30 20:45:00,1.11538,1.11612,1.11518,1.11522,877,EURUSD_i
2024-09-30 21:00:00,1.1152,1.11537,1.11201,1.11246,1680,EURUSD_i
2024-09-30 21:15:00,1.11246,1.11252,1.11126,1.11203,1850,EURUSD_i
2024-09-30 21:30:00,1.11203,1.11327,1.11193,1.11321,1567,EURUSD_i
2024-09-30 21:45:00,1.11322,1.11351,1.11306,1.11313,1005,EURUSD_i
2024-09-30 22:00:00,1.11314,1.11322,1.11208,1.11215,904,EURUSD_i
2024-09-30 22:15:00,1.11216,1.11286,1.11206,1.1126,667,EURUSD_i
2024-09-30 22:30:00,1.11259,1.11306,1.11241,1.11297,533,EURUSD_i
2024-09-30 22:45:00,1.11298,1.11353,1.11296,1.11338,484,EURUSD_i
2024-09-30 23:15:00,1.1132900000000001,1.11357,1.11308,1.11336,223,EURUSD_i
2024-09-30 23:30:00,1.11336,1.11356,1.1131199999999999,1.11333,219,EURUSD_i
2024-09-30 23:45:00,1.11332,1.11348,1.11328,1.11346,114,EURUSD_i
2024-10-01 00:15:00,1.11316,1.11334,1.11308,1.11319,251,EURUSD_i
2024-10-01 00:30:00,1.11334,1.11341,1.11315,1.11321,115,EURUSD_i
2024-10-01 00:45:00,1.11322,1.11347,1.11321,1.11337,143,EURUSD_i
2024-10-01 01:00:00,1.1134,1.11365,1.11325,1.11352,199,EURUSD_i
2024-10-01 01:15:00,1.11368,1.11392,1.11351,1.11387,190,EURUSD_i
2024-10-01 01:30:00,1.11387,1.11406,1.1137,1.11383,197,EURUSD_i
2024-10-01 01:45:00,1.11398,1.11415,1.11382,1.11395,201,EURUSD_i
2024-10-01 02:00:00,1.11406,1.11417,1.11398,1.11401,305,EURUSD_i
2024-10-01 02:15:00,1.11403,1.11421,1.1137299999999999,1.1138,296,EURUSD_i
2024-10-01 02:30:00,1.11381,1.11385,1.11358,1.11364,232,EURUSD_i
2024-10-01 02:45:00,1.11364,1.1137299999999999,1.11347,1.11356,222,EURUSD_i
2024-10-01 03:00:00,1.11358,1.11365,1.11336,1.11348,495,EURUSD_i
